school,testoptional?,appliestoclassyear(s),numberofapplicants,sat25,sat75,accept_rate
University of Redlands,Yes,All / Permanent Policy,4713,1100.0,1250.0,0.75
Loyola University New Orleans,Yes (TB),All / Permanent Policy,5857,1050.0,1260.0,0.75
California State University--Monterey Bay,Yes (TB),2021,12327,960.0,1170.0,0.753
Whittier College,Yes*,All / Permanent Policy,6220,1030.0,1213.0,0.759
Kalamazoo College,Yes,All / Permanent Policy,3576,1170.0,1370.0,0.76
Towson University,Yes,2021,12678,1060.0,1220.0,0.763
Centre College,Yes,2021 2022 2023,2212,1130.0,1380.0,0.764
University of Texas San Antonio,Yes,2021,17122,1030.0,1220.0,0.7659999999999999
Ball State,Yes,All / Permanent Policy,23305,,,0.767
James Madison University,Yes,All / Permanent Policy,23578,1120.0,1290.0,0.768
Appalachian State University,Yes,2021,16664,1100.0,1270.0,0.768
Indiana University—​Bloomington,Yes,All / Permanent Policy,44169,1150.0,1360.0,0.769
High Point University,Yes,All / Permanent Policy,10098,1090.0,1250.0,0.769
Virginia Commonwealth University,Yes*,All / Permanent Policy,18622,1070.0,1260.0,0.7709999999999999
University of Arkansas—​Fayetteville,Yes*,2021,17913,1120.0,1300.0,0.7709999999999999
John Brown University,Yes,2021,1094,1060.0,1365.0,0.7709999999999999
University of Idaho,Yes,2021,8071,1010.0,1240.0,0.778
University of Missouri,Yes,2021,18948,1090.0,1290.0,0.778
Willamette University,Yes,All / Permanent Policy,3972,1140.0,1340.0,0.779
University of Nebraska—​Lincoln,Yes*,All / Permanent Policy,16829,1120.0,1360.0,0.782
Carroll College,Yes*,All / Permanent Policy,2709,1070.0,1270.0,0.7829999999999999
College of Charleston,Yes,2021,11783,1080.0,1260.0,0.7829999999999999
University of Colorado—​Boulder,Yes,2021,40740,1140.0,1350.0,0.784
Elon University,Yes,2021 2022 2023,10500,1160.0,1320.0,0.784
Seattle University,Yes,All / Permanent Policy,7968,1160.0,1330.0,0.785
University of Texas—​Dallas,Yes,2021,14327,1240.0,1460.0,0.7859999999999999
East Carolina,Yes,2021,19234,1030.0,1190.0,0.787
University of Tennessee,Yes,2021,21764,1150.0,1330.0,0.7879999999999999
University of Texas Arlington,Yes,2021,12335,1060.0,1260.0,0.795
Pacific Lutheran University,Yes,All / Permanent Policy,3740,1070.0,1270.0,0.7979999999999999
Western Michigan,Yes,2021,17698,1000.0,1210.0,0.799
Loyola University Maryland,Yes,All / Permanent Policy,10077,1143.0,1320.0,0.802
Miami University—​Oxford,Yes,2021,28920,1210.0,1410.0,0.804
Goucher College,Yes,All / Permanent Policy,3154,1040.0,1290.0,0.804
University of Oklahoma,Yes,2021,15673,1130.0,1310.0,0.804
Auburn University,Yes,2021,20205,1150.0,1320.0,0.807
University of Nevada—​Las Vegas,Yes*,All / Permanent Policy,12720,1030.0,1250.0,0.807
Boise State,Yes (TB),2021,10788,960.0,1180.0,0.8079999999999999
St. Mary's College of California,Yes,All / Permanent Policy,6069,1070.0,1240.0,0.81
Siena College,Yes,All / Permanent Policy,7728,1070.0,1280.0,0.8109999999999999
University of North Dakota,Yes,2021,4964,1010.0,1250.0,0.8109999999999999
Texas State University,Yes,2021,23583,1010.0,1180.0,0.8109999999999999
Colorado State University,Yes,2021,28319,1070.0,1290.0,0.8140000000000001
University of Memphis,Yes,2021,15381,1010.0,1230.0,0.8140000000000001
West Virginia University,Yes,2021,18639,1050.0,1240.0,0.816
University of Oregon,Yes,All / Permanent Policy,27358,1100.0,1310.0,0.816
University of St. Thomas (MN),Yes,All / Permanent Policy,6819,1130.0,1380.0,0.8190000000000001
St. Mary's College (IN),Yes,All / Permanent Policy,1862,1050.0,1260.0,0.8190000000000001
Illinois State,Yes,All / Permanent Policy,16151,1020.0,1220.0,0.8190000000000001
Ohio University,Yes,All / Permanent Policy,24179,1050.0,1260.0,0.821
California State University--Sacramento,Yes (TB),2021,27576,940.0,1140.0,0.823
University of North Carolina—​Greensboro,Yes,2021,9972,1000.0,1160.0,0.8240000000000001
University of Iowa,Yes,2021,25928,1130.0,1340.0,0.826
St. Michael's College,Yes,All / Permanent Policy,4040,1140.0,1320.0,0.826
University of Alaska Anchorage,Yes,All / Permanent Policy,3673,1020.0,1220.0,0.83
Marquette University,Yes,All / Permanent Policy,15078,1120.0,1320.0,0.83
College of St. Benedict,Yes,All / Permanent Policy,1931,990.0,1210.0,0.8340000000000001
Oregon State University,Yes,All / Permanent Policy,15786,1080.0,1320.0,0.836
The Catholic University of America,Yes (TB),All / Permanent Policy,6096,1140.0,1320.0,0.8370000000000001
University of Puget Sound,Yes,All / Permanent Policy,5182,1150.0,1370.0,0.838
University of New Hampshire,Yes,All / Permanent Policy,18040,1070.0,1270.0,0.84
Missouri University of Science & Technology,Yes,2021,4333,1180.0,1380.0,0.8420000000000001
St. Mary's College of Maryland,Yes,All / Permanent Policy,1621,1060.0,1290.0,0.843
University of Arizona,Yes,All / Permanent Policy,40854,1120.0,1350.0,0.846
Susquehanna University,Yes,All / Permanent Policy,4863,1100.0,1290.0,0.848
Arizona State University—​Tempe,Yes*,All / Permanent Policy,26869,1130.0,1360.0,0.848
Wheaton College (IL),Yes,2021,1889,1220.0,1440.0,0.848
Northern Arizona,Yes,All / Permanent Policy,36855,1030.0,1230.0,0.85
Washington and Jefferson College,Yes,All / Permanent Policy,2722,1090.0,1280.0,0.852
Kent State,Yes,All / Permanent Policy,16308,1040.0,1230.0,0.855
Mills College,Yes,All / Permanent Policy,1003,1008.0,1240.0,0.855
Hope College,Yes,2021,3748,1130.0,1330.0,0.857
Valparaiso University,Yes,2021 2022,5491,1070.0,1290.0,0.858
